Credibility Code,Sample Size,Precision,Abundance,Significance, AOU,Region,Species Name,Region Name,Model, N Routes, Trend, 2.5%CI, 97.5%CI,Relative Abundance
 Y, Y,  , Y,2,2580,S27,Willet                                  ,                                        , Sh,12,-2.449,-5.033,-0.702,0.152
 Y,  ,  , Y,  ,2580,S30,Willet                                  ,                                        , Sh,22,-0.35,-1.727,1.159,0.788
 Y, Y, Y, Y,  ,2580,S31,Willet                                  ,                                        , Sh,7,-1.197,-4.495,2.193,0.13
 R, R, R, R,  ,2580,S36,Willet                                  ,                                        , Sh,2,0.219,-5.874,4.468,0.011
  ,  ,  ,  ,  ,2580,S37,Willet                                  ,                                        , Sh,19,-0.266,-2.407,2.079,4.163
 R, R, Y, R,  ,2580,ALA,Willet                                  ,                                        , Sh,1,-2.243,-6.51,1.63,0.058
  ,  ,  ,  ,2,2580,ALB,Willet                                  ,                                        , Sh,92,-1.004,-1.921,-0.041,1.646
  ,  ,  ,  ,  ,2580,CAL,Willet                                  ,                                        , Sh,19,0.065,-1.165,1.222,4.008
 R, R, R, R,  ,2580,COL,Willet                                  ,                                        , Sh,2,-0.21,-4.755,5.265,0.007
 Y, Y,  ,  ,2,2580,DEL,Willet                                  ,                                        , Sh,5,-1.755,-3.441,-0.129,4.376
 Y,  , Y, Y,  ,2580,FLA,Willet                                  ,                                        , Sh,14,-2.947,-6.251,0.041,0.154
 Y, Y,  ,  ,  ,2580,IDA,Willet                                  ,                                        , Sh,12,-1.055,-3.012,2.134,1.026
 Y, Y, Y,  ,  ,2580,LA ,Willet                                  ,                                        , Sh,7,-1.094,-4.233,2.076,5.754
  ,  ,  ,  ,  ,2580,MAN,Willet                                  ,                                        , Sh,29,0.68,-0.984,2.319,1.1
 Y, Y, Y, Y,1,2580,MAS,Willet                                  ,                                        , Sh,6,4.23,0.07,8.542,0.283
 Y, Y,  , Y,  ,2580,MD ,Willet                                  ,                                        , Sh,7,-1.375,-3.391,0.765,0.202
 R, R, Y, R,  ,2580,MIN,Willet                                  ,                                        , Sh,1,-1.922,-6.995,2.492,0.014
 Y,  ,  , Y,  ,2580,MON,Willet                                  ,                                        , Sh,41,0.474,-1.369,2.547,0.98
 R, R, R, R,  ,2580,NB ,Willet                                  ,                                        , Sh,3,2.424,-2.763,9.533,0.047
 R, R,  , Y,  ,2580,NC ,Willet                                  ,                                        , Sh,4,-0.652,-2.2,0.686,0.222
  ,  ,  ,  ,  ,2580,ND ,Willet                                  ,                                        , Sh,35,-0.8,-2.108,0.287,3.25
 Y, Y, Y, Y,  ,2580,NEB,Willet                                  ,                                        , Sh,7,-0.816,-4.135,1.974,0.364
 Y, Y, Y, Y,  ,2580,NEV,Willet                                  ,                                        , Sh,12,1.302,-3.104,4.996,0.454
 R, R,  , Y,  ,2580,NJ ,Willet                                  ,                                        , Sh,4,1.107,-1.308,3.521,0.543
 Y,  ,  , Y,2,2580,NS ,Willet                                  ,                                        , Sh,19,-2.502,-4.125,-0.971,0.922
  ,  ,  ,  ,  ,2580,ORE,Willet                                  ,                                        , Sh,22,-1.334,-3.494,0.722,1.349
 R, R, R, Y,1,2580,PEI,Willet                                  ,                                        , Sh,3,4.911,0.345,10.478,0.399
  ,  ,  ,  ,  ,2580,SAS,Willet                                  ,                                        , Sh,71,-0.557,-1.705,0.776,5.052
 Y,  ,  , Y,  ,2580,SD ,Willet                                  ,                                        , Sh,17,-0.649,-2.792,1.436,0.342
 Y,  , Y,  ,  ,2580,TEX,Willet                                  ,                                        , Sh,14,0.592,-2.207,4.099,1.119
 Y, Y, Y,  ,  ,2580,UT ,Willet                                  ,                                        , Sh,10,0.717,-2.81,6.163,2.496
 Y,  ,  , Y,  ,2580,WYO,Willet                                  ,                                        , Sh,19,-0.804,-2.972,2.067,0.374
  ,  ,  ,  ,  ,2580,CAN,Willet                                  ,                                        , Sh,217,-0.646,-1.397,0.268,2.554
  ,  ,  ,  ,  ,2580,US ,Willet                                  ,                                        , Sh,259,-0.222,-0.895,0.511,1.074
  ,  ,  ,  ,  ,2580,SUR,Willet                                  ,                                        , Sh,476,-0.455,-0.976,0.152,1.594
  ,  ,  ,  ,  ,2580,CA1,Willet                                  ,                                        , Sh,217,-0.646,-1.397,0.268,2.554
  ,  ,  ,  ,  ,2580,US1,Willet                                  ,                                        , Sh,259,-0.222,-0.895,0.511,1.074
  ,  ,  ,  ,  ,2580,SU1,Willet                                  ,                                        , Sh,476,-0.455,-0.976,0.152,1.594
 Y, Y,  ,  ,  ,2540,S02,Greater Yellowlegs                      ,                                        , Dh,5,1.184,-1.145,4.258,2.58
 Y,  ,  , Y,  ,2540,S04,Greater Yellowlegs                      ,                                        , Dh,18,-1.223,-3.837,1.268,0.459
 Y,  ,  , Y,  ,2540,S05,Greater Yellowlegs                      ,                                        , Dh,16,-0.086,-2.241,1.964,0.725
 Y,  , Y, Y,  ,2540,S06,Greater Yellowlegs                      ,                                        , Dh,37,2.25,-0.363,6.755,0.22
 Y,  ,  , Y,  ,2540,S08,Greater Yellowlegs                      ,                                        , Dh,68,1.557,-0.63,4.116,0.717
 R, R, R, R,  ,2540,S09,Greater Yellowlegs                      ,                                        , Dh,3,0.461,-4.761,7.106,0.048
 Y,  ,  , Y,  ,2540,S10,Greater Yellowlegs                      ,                                        , Dh,27,2.238,-0.278,5.475,0.408
 R,  , Y, R,  ,2540,S11,Greater Yellowlegs                      ,                                        , Dh,15,0.728,-2.139,5.414,0.022
 R, Y, R, R,  ,2540,S14,Greater Yellowlegs                      ,                                        , Dh,6,-0.33,-7.271,4.185,0.052
  ,  ,  ,  ,  ,2540,AK ,Greater Yellowlegs                      ,                                        , Dh,39,0.337,-1.336,2.373,1.038
 Y,  , Y, Y,  ,2540,ALB,Greater Yellowlegs                      ,                                        , Dh,26,1.902,-2.053,7.835,0.105
 Y,  ,  , Y,  ,2540,BC ,Greater Yellowlegs                      ,                                        , Dh,27,2.351,-0.221,5.627,0.399
 Y,  , Y, Y,  ,2540,MAN,Greater Yellowlegs                      ,                                        , Dh,19,0.85,-1.925,5.132,0.385
 Y,  , Y,  ,  ,2540,NF ,Greater Yellowlegs                      ,                                        , Dh,30,2.426,-0.267,5.901,1.663
 R, Y, R, R,  ,2540,NS ,Greater Yellowlegs                      ,                                        , Dh,6,-0.33,-7.271,4.185,0.052
 Y,  , Y, Y,  ,2540,ONT,Greater Yellowlegs                      ,                                        , Dh,16,0.944,-2.955,6.719,0.439
 R,  , R, Y,  ,2540,QUE,Greater Yellowlegs                      ,                                        , Dh,16,1.237,-2.692,8.411,0.67
 R,  , R, Y,  ,2540,SAS,Greater Yellowlegs                      ,                                        , Dh,16,3.292,-0.643,10.531,0.137
 Y,  ,  , Y,1,2540,CAN,Greater Yellowlegs                      ,                                        , Dh,156,1.794,0.084,3.814,0.429
  ,  ,  ,  ,  ,2540,US ,Greater Yellowlegs                      ,                                        , Dh,39,0.337,-1.336,2.373,1.038
 Y,  ,  , Y,  ,2540,SUR,Greater Yellowlegs                      ,                                        , Dh,195,1.074,-0.209,2.538,0.622
 Y,  ,  , Y,  ,2540,CA1,Greater Yellowlegs                      ,                                        , Dh,126,1.637,-0.321,3.96,0.357
 Y,  ,  , Y,  ,2540,SU1,Greater Yellowlegs                      ,                                        , Dh,126,1.637,-0.321,3.96,0.357
 Y,  , Y, Y,  ,2240,S06,Wilson's Phalarope                      ,                                        , Sh,15,-2.854,-7.548,2.09,0.113
 Y,  ,  , Y,  ,2240,S09,Wilson's Phalarope                      ,                                        , Sh,77,-2.107,-4.643,0.638,0.496
 Y,  ,  , Y,  ,2240,S10,Wilson's Phalarope                      ,                                        , Sh,56,-2.675,-5.639,0.361,0.319
  ,  ,  ,  ,  ,2240,S11,Wilson's Phalarope                      ,                                        , Sh,231,0.731,-1.076,2.646,7.026
 R, R, R, R,  ,2240,S15,Wilson's Phalarope                      ,                                        , Sh,3,-2.306,-9.498,4.971,0.075
 Y,  , Y, Y,  ,2240,S16,Wilson's Phalarope                      ,                                        , Sh,20,-3.346,-7.453,0.837,0.182
 Y,  , Y,  ,  ,2240,S17,Wilson's Phalarope                      ,                                        , Sh,63,1.086,-1.967,4.582,1.35
 R,  , R, Y,  ,2240,S18,Wilson's Phalarope                      ,                                        , Sh,28,-0.572,-7.197,5.796,0.175
 R, Y, R, Y,  ,2240,S19,Wilson's Phalarope                      ,                                        , Sh,13,0.978,-3.835,7.108,0.991
 R, R, R, R,  ,2240,S23,Wilson's Phalarope                      ,                                        , Sh,1,-2.704,-9.53,4.659,0.01
 R, R, R, R,  ,2240,S32,Wilson's Phalarope                      ,                                        , Sh,1,-1.17,-9.045,7.341,0.005
 Y,  , Y,  ,  ,2240,ALB,Wilson's Phalarope                      ,                                        , Sh,82,0.406,-2.795,3.703,1.589
 R, R, R, R,  ,2240,BC ,Wilson's Phalarope                      ,                                        , Sh,4,-2.504,-8.036,2.987,0.043
 Y,  , Y, Y,2,2240,CAL,Wilson's Phalarope                      ,                                        , Sh,17,-3.957,-8.17,-0.408,0.225
 Y,  , Y, Y,  ,2240,COL,Wilson's Phalarope                      ,                                        , Sh,32,-3.061,-6.858,0.784,0.221
 Y,  , Y, Y,  ,2240,IDA,Wilson's Phalarope                      ,                                        , Sh,18,-2.43,-7.163,2.307,0.262
 R, R, R, Y,  ,2240,KAN,Wilson's Phalarope                      ,                                        , Sh,3,0.034,-11.039,17.554,0.144
 Y,  , Y, Y,  ,2240,MAN,Wilson's Phalarope                      ,                                        , Sh,28,0.913,-2.935,5.675,0.766
 R, R, R, R,  ,2240,MIN,Wilson's Phalarope                      ,                                        , Sh,2,-3.71,-10.136,3.422,0.055
  ,  ,  ,  ,  ,2240,MON,Wilson's Phalarope                      ,                                        , Sh,54,-0.411,-3.475,2.48,2.861
 Y,  , Y,  ,  ,2240,ND ,Wilson's Phalarope                      ,                                        , Sh,44,0.88,-1.951,4.131,6.685
 R,  , R, Y,  ,2240,NEB,Wilson's Phalarope                      ,                                        , Sh,18,0.883,-3.753,6.641,0.858
 R, Y, R, Y,  ,2240,NEV,Wilson's Phalarope                      ,                                        , Sh,11,-2.451,-9.812,4.661,0.376
 Y,  , Y, Y,  ,2240,ORE,Wilson's Phalarope                      ,                                        , Sh,25,-3.601,-7.899,0.279,0.595
 Y,  , Y,  ,  ,2240,SAS,Wilson's Phalarope                      ,                                        , Sh,63,1.722,-1.653,5.505,6.124
 Y,  , Y,  ,  ,2240,SD ,Wilson's Phalarope                      ,                                        , Sh,35,0.244,-3.647,4.371,1.419
 R, R, R, R,  ,2240,TEX,Wilson's Phalarope                      ,                                        , Sh,4,-1.324,-15.33,12.254,0.099
 R, Y, R, Y,  ,2240,UT ,Wilson's Phalarope                      ,                                        , Sh,12,0.209,-5.261,6.186,0.258
 R, Y, R, Y,  ,2240,WAS,Wilson's Phalarope                      ,                                        , Sh,8,-2.506,-7.928,3.905,0.129
 R, R, R, R,  ,2240,WIS,Wilson's Phalarope                      ,                                        , Sh,1,-2.704,-9.53,4.659,0.01
 Y,  , Y, Y,  ,2240,WYO,Wilson's Phalarope                      ,                                        , Sh,47,-1.555,-5.062,2.291,0.822
  ,  ,  ,  ,  ,2240,CAN,Wilson's Phalarope                      ,                                        , Sh,177,1.244,-1.159,3.848,2.298
  ,  ,  ,  ,  ,2240,US ,Wilson's Phalarope                      ,                                        , Sh,331,-0.234,-1.88,1.373,1.216
  ,  ,  ,  ,  ,2240,SUR,Wilson's Phalarope                      ,                                        , Sh,508,0.356,-1.054,1.792,1.62
  ,  ,  ,  ,  ,2240,CA1,Wilson's Phalarope                      ,                                        , Sh,177,1.244,-1.159,3.848,2.298
  ,  ,  ,  ,  ,2240,US1,Wilson's Phalarope                      ,                                        , Sh,331,-0.234,-1.88,1.373,1.216
  ,  ,  ,  ,  ,2240,SU1,Wilson's Phalarope                      ,                                        , Sh,508,0.356,-1.054,1.792,1.62
 Y, Y, Y, Y,  ,2230,S02,Red-necked Phalarope                    ,                                        , Dh,9,-0.001,-6.054,3.53,0.887
 R, Y, R, R,2,2230,S04,Red-necked Phalarope                    ,                                        , Dh,12,-6.107,-13.555,-1.777,0.052
 Y,  , Y, Y,  ,2230,AK ,Red-necked Phalarope                    ,                                        , Dh,18,-2.178,-7.017,1.574,0.277
 R, R, R, R,  ,2230,YT ,Red-necked Phalarope                    ,                                        , Dh,3,-0.614,-14.354,2.259,0.078
 R, R, R, R,  ,2230,CAN,Red-necked Phalarope                    ,                                        , Dh,3,-0.614,-14.354,2.259,0.078
 Y,  , Y, Y,  ,2230,US ,Red-necked Phalarope                    ,                                        , Dh,18,-2.178,-7.017,1.574,0.277
 Y,  , Y, Y,  ,2230,SUR,Red-necked Phalarope                    ,                                        , Dh,21,-2.051,-6.876,1.334,0.221
 Y, Y,  , Y,  ,370,S02,Parasitic Jaeger                        ,                                        , Dh,8,0,-1.989,3.118,0.245
 Y, Y,  , Y,  ,370,AK ,Parasitic Jaeger                        ,                                        , Dh,8,0,-1.989,3.118,0.245
 Y, Y,  , Y,  ,370,US ,Parasitic Jaeger                        ,                                        , Dh,8,0,-1.989,3.118,0.245
 Y, Y,  , Y,  ,370,SUR,Parasitic Jaeger                        ,                                        , Dh,8,0,-1.989,3.118,0.245
 Y, Y, Y,  ,  ,380,S02,Long-tailed Jaeger                      ,                                        , DD,8,-2.092,-7.4,2.003,3.238
 R, R, R,  ,  ,380,S03,Long-tailed Jaeger                      ,                                        , DD,3,-5.034,-12.513,0.444,9.554
 R, Y, R, R,  ,380,S04,Long-tailed Jaeger                      ,                                        , DD,5,-0.818,-7.962,3.688,0.052
 R, R, R, R,  ,380,S06,Long-tailed Jaeger                      ,                                        , DD,3,9.12,-2.114,52.207,0.043
 Y,  , Y,  ,  ,380,AK ,Long-tailed Jaeger                      ,                                        , DD,16,-3.794,-9.044,0.283,2.993
 R, R, R, R,  ,380,NWT,Long-tailed Jaeger                      ,                                        , DD,3,9.12,-2.114,52.207,0.043
 R, R, R, R,  ,380,CAN,Long-tailed Jaeger                      ,                                        , DD,3,9.12,-2.114,52.207,0.043
 Y,  , Y,  ,  ,380,US ,Long-tailed Jaeger                      ,                                        , DD,16,-3.794,-9.044,0.283,2.993
 Y,  , Y,  ,  ,380,SUR,Long-tailed Jaeger                      ,                                        , DD,19,-2.849,-7.834,1.407,2.248
 R, Y, R, Y,  ,270,S08,Black Guillemot                         ,                                        , Dh,5,0,-5.684,6.073,0.208
 R, Y, R, Y,  ,270,S14,Black Guillemot                         ,                                        , Dh,12,0.574,-3.014,9.836,0.28
 R, R, R, R,  ,270,NB ,Black Guillemot                         ,                                        , Dh,3,1.964,-3.28,20.648,0.088
 R, Y, R, Y,  ,270,NF ,Black Guillemot                         ,                                        , Dh,5,0,-5.684,6.073,0.208
 R, R, R, Y,  ,270,NS ,Black Guillemot                         ,                                        , Dh,3,0.364,-3.403,9.503,0.17
 R, Y, R, Y,  ,270,QUE,Black Guillemot                         ,                                        , Dh,6,-0.006,-6.232,4.453,0.477
 R,  , R, Y,  ,270,CAN,Black Guillemot                         ,                                        , Dh,17,0.366,-2.478,7.63,0.266
 R,  , R, Y,  ,270,SUR,Black Guillemot                         ,                                        , Dh,17,0.366,-2.478,7.63,0.266
 R, Y, R, Y,  ,270,CA1,Black Guillemot                         ,                                        , Dh,12,0.574,-3.014,9.836,0.28
 R, Y, R, Y,  ,270,SU1,Black Guillemot                         ,                                        , Dh,12,0.574,-3.014,9.836,0.28
 R, R, R,  ,  ,290,S02,Pigeon Guillemot                        ,                                        , DD,3,0.024,-6.602,7.546,2.131
 Y,  , Y, Y,  ,290,S05,Pigeon Guillemot                        ,                                        , DD,17,1.538,-1.171,6.05,0.415
 R, Y, R,  ,  ,290,AK ,Pigeon Guillemot                        ,                                        , DD,9,0.18,-4.808,6.327,1.701
 R, R, R, Y,  ,290,BC ,Pigeon Guillemot                        ,                                        , DD,4,3.969,-0.768,11.452,0.294
 R, R, R, R,  ,290,CAL,Pigeon Guillemot                        ,                                        , DD,2,-3.444,-10.539,1.157,0.058
 Y, Y, Y, Y,  ,290,WAS,Pigeon Guillemot                        ,                                        , DD,5,-0.961,-6.511,2.84,0.369
 R, R, R, Y,  ,290,CAN,Pigeon Guillemot                        ,                                        , DD,4,3.969,-0.768,11.452,0.294
 R,  , R,  ,  ,290,US ,Pigeon Guillemot                        ,                                        , DD,16,0.101,-4.634,5.866,1.446
 Y,  , Y,  ,  ,290,SUR,Pigeon Guillemot                        ,                                        , DD,20,0.778,-3.456,6.068,1.165
 R, R, R, Y,  ,290,CA1,Pigeon Guillemot                        ,                                        , DD,4,3.969,-0.768,11.452,0.294
 Y, Y, Y, Y,  ,290,US1,Pigeon Guillemot                        ,                                        , DD,7,-1.424,-6.258,1.936,0.235
 Y, Y, Y, Y,  ,290,SU1,Pigeon Guillemot                        ,                                        , DD,11,2.039,-1.394,8.304,0.292
 Y,  , Y,  ,  ,230,S05,Marbled Murrelet                        ,                                        , Dh,40,2.402,-0.522,5.693,6.253
 Y,  , Y,  ,  ,230,AK ,Marbled Murrelet                        ,                                        , Dh,17,2.899,-0.303,6.54,21.757
 Y,  , Y, Y,  ,230,BC ,Marbled Murrelet                        ,                                        , Dh,14,-2.204,-6.917,2.281,0.705
 R, R, R, R,  ,230,CAL,Marbled Murrelet                        ,                                        , Dh,2,-2.823,-11.421,4.121,0.025
 R, R, R, R,  ,230,ORE,Marbled Murrelet                        ,                                        , Dh,3,-1.588,-14.18,7.252,0.047
 R, R, R, R,  ,230,WAS,Marbled Murrelet                        ,                                        , Dh,4,0.054,-7.44,7.913,0.093
 Y,  , Y, Y,  ,230,CAN,Marbled Murrelet                        ,                                        , Dh,14,-2.204,-6.917,2.281,0.705
 Y,  , Y,  ,  ,230,US ,Marbled Murrelet                        ,                                        , Dh,26,2.866,-0.305,6.463,9.696
 Y,  , Y,  ,  ,230,SUR,Marbled Murrelet                        ,                                        , Dh,40,2.402,-0.522,5.693,6.253
 Y,  , Y, Y,  ,230,CA1,Marbled Murrelet                        ,                                        , Dh,14,-2.204,-6.917,2.281,0.705
 R, Y, R, R,  ,230,US1,Marbled Murrelet                        ,                                        , Dh,9,-0.815,-6.49,4.93,0.067
 Y,  , Y, Y,  ,230,SU1,Marbled Murrelet                        ,                                        , Dh,23,-2.005,-6.266,2.163,0.413
 R, Y, R,  ,  ,150,S05,Rhinoceros Auklet                       ,                                        , Dh,7,5.524,-2.097,19.184,20.18
 R, R, R,  ,  ,150,BC ,Rhinoceros Auklet                       ,                                        , Dh,3,7.204,-1.244,21.795,23.836
 R, R, R,  ,  ,150,WAS,Rhinoceros Auklet                       ,                                        , Dh,4,-6.658,-21.671,2.393,2.576
 R, R, R,  ,  ,150,CAN,Rhinoceros Auklet                       ,                                        , Dh,3,7.204,-1.244,21.795,23.836
 R, R, R,  ,  ,150,US ,Rhinoceros Auklet                       ,                                        , Dh,4,-6.658,-21.671,2.393,2.576
 R, Y, R,  ,  ,150,SUR,Rhinoceros Auklet                       ,                                        , Dh,7,5.524,-2.097,19.184,20.18
 R, R, R,  ,  ,150,CA1,Rhinoceros Auklet                       ,                                        , Dh,3,7.204,-1.244,21.795,23.836
 R, R, R,  ,  ,150,US1,Rhinoceros Auklet                       ,                                        , Dh,4,-6.658,-21.671,2.393,2.576
 R, Y, R,  ,  ,150,SU1,Rhinoceros Auklet                       ,                                        , Dh,7,5.524,-2.097,19.184,20.18
 R, R, R,  ,  ,400,S02,Black-legged Kittiwake                  ,                                        , Dh,4,6.749,-1.574,18.979,115.863
 R, Y, R,  ,  ,400,S05,Black-legged Kittiwake                  ,                                        , Dh,5,-3.099,-16.401,4.804,6.898
 R, Y, R,  ,  ,400,S08,Black-legged Kittiwake                  ,                                        , Dh,5,-3.829,-13.594,4.534,19.61
 R, R, R,  ,  ,400,S14,Black-legged Kittiwake                  ,                                        , Dh,4,1.046,-6.542,10.302,123.825
 R, Y, R,  ,  ,400,AK ,Black-legged Kittiwake                  ,                                        , Dh,9,5.987,-1.73,17.54,82.678
 R, Y, R,  ,  ,400,NF ,Black-legged Kittiwake                  ,                                        , Dh,5,-3.829,-13.594,4.534,19.61
 R, R, R,  ,  ,400,QUE,Black-legged Kittiwake                  ,                                        , Dh,4,1.046,-6.542,10.302,123.825
 R, Y, R,  ,  ,400,CAN,Black-legged Kittiwake                  ,                                        , Dh,9,-0.663,-7.544,6.335,59.661
 R, Y, R,  ,  ,400,US ,Black-legged Kittiwake                  ,                                        , Dh,9,5.987,-1.73,17.54,82.678
 R,  , R,  ,  ,400,SUR,Black-legged Kittiwake                  ,                                        , Dh,18,4.594,-1.912,15.372,83.213
 R, R, R,  ,  ,400,CA1,Black-legged Kittiwake                  ,                                        , Dh,4,1.046,-6.542,10.302,123.825
 R, R, R,  ,  ,400,SU1,Black-legged Kittiwake                  ,                                        , Dh,4,1.046,-6.542,10.302,123.825
 R, R, R, Y,  ,600,S02,Bonaparte's Gull                        ,                                        , Dh,4,-0.476,-6.364,5.076,0.265
 Y,  , Y, Y,  ,600,S04,Bonaparte's Gull                        ,                                        , Dh,37,-2.238,-5.939,0.692,0.592
 R, Y, R, Y,  ,600,S05,Bonaparte's Gull                        ,                                        , Dh,8,1.441,-3.657,7.029,0.595
 Y,  , Y, Y,  ,600,S06,Bonaparte's Gull                        ,                                        , Dh,38,-0.015,-4.057,5.308,0.461
 Y,  , Y, Y,  ,600,S08,Bonaparte's Gull                        ,                                        , Dh,22,2.243,-1.263,7.023,0.424
 R, Y, R, R,  ,600,S10,Bonaparte's Gull                        ,                                        , Dh,7,0.629,-4.247,6.67,0.098
 R, Y, R, R,  ,600,S11,Bonaparte's Gull                        ,                                        , Dh,11,3.12,-1.512,9.498,0.097
 R, R, R, R,  ,600,S12,Bonaparte's Gull                        ,                                        , Dh,4,0.328,-5.465,6.941,0.057
 Y,  , Y, Y,  ,600,AK ,Bonaparte's Gull                        ,                                        , Dh,31,-0.775,-4.08,2.15,0.493
 Y,  , Y, Y,  ,600,ALB,Bonaparte's Gull                        ,                                        , Dh,28,-1.134,-5.182,2.936,0.173
 R, Y, R, R,  ,600,BC ,Bonaparte's Gull                        ,                                        , Dh,7,0.629,-4.247,6.67,0.098
 Y, Y, Y, Y,  ,600,MAN,Bonaparte's Gull                        ,                                        , Dh,12,0.136,-4.595,5.287,0.489
 R, Y, R, Y,  ,600,NWT,Bonaparte's Gull                        ,                                        , Dh,7,0.795,-4.573,7.786,0.741
 Y,  , Y, Y,  ,600,ONT,Bonaparte's Gull                        ,                                        , Dh,20,2.763,-1.305,7.93,0.227
 R, Y, R, Y,  ,600,SAS,Bonaparte's Gull                        ,                                        , Dh,8,-1.626,-8.275,4.455,0.226
 Y,  , Y, Y,  ,600,YT ,Bonaparte's Gull                        ,                                        , Dh,18,-2.934,-8.28,1.436,0.656
 Y,  ,  , Y,  ,600,CAN,Bonaparte's Gull                        ,                                        , Dh,100,0.176,-2.452,3.366,0.409
 Y,  , Y, Y,  ,600,US ,Bonaparte's Gull                        ,                                        , Dh,31,-0.775,-4.08,2.15,0.493
 Y,  ,  , Y,  ,600,SUR,Bonaparte's Gull                        ,                                        , Dh,131,-0.05,-2.234,2.547,0.44
 Y,  ,  , Y,  ,600,CA1,Bonaparte's Gull                        ,                                        , Dh,75,0.84,-1.493,3.885,0.253
 Y,  ,  , Y,  ,600,SU1,Bonaparte's Gull                        ,                                        , Dh,75,0.84,-1.493,3.885,0.253
 R, Y, R,  ,  ,580,S26,Laughing Gull                           ,                                        , Dh,5,1.589,-4.273,7.433,11.008
 Y,  , Y,  ,  ,580,S27,Laughing Gull                           ,                                        , Dh,48,-1.66,-5.391,2.408,168.508
 Y,  , Y,  ,  ,580,S30,Laughing Gull                           ,                                        , Dh,55,0.101,-2.899,3.801,519.39
 Y,  , Y,  ,2,580,S31,Laughing Gull                           ,                                        , Dh,25,-5.684,-9.156,-2.294,157.485
 R, R, R,  ,  ,580,S36,Laughing Gull                           ,                                        , Dh,4,-2.231,-11.017,5.66,136.153
  ,  ,  ,  ,  ,580,S37,Laughing Gull                           ,                                        , Dh,30,-0.193,-3.104,2.766,4679.137
 Y, Y, Y,  ,  ,580,ALA,Laughing Gull                           ,                                        , Dh,8,-2.498,-7.266,2.001,369.117
 Y, Y, Y,  ,  ,580,DEL,Laughing Gull                           ,                                        , Dh,11,0.185,-3.475,4.087,629.021
 Y,  , Y,  ,2,580,FLA,Laughing Gull                           ,                                        , Dh,38,-5.213,-8.388,-2.173,125.438
 R, R, R, Y,  ,580,GA ,Laughing Gull                           ,                                        , Dh,3,5.653,-3.41,22.212,0.41
 R,  , R,  ,  ,580,LA ,Laughing Gull                           ,                                        , Dh,18,3.92,-1.174,9.552,69.443
 R, R, R,  ,  ,580,MAS,Laughing Gull                           ,                                        , Dh,3,-0.061,-10.732,9.117,3.636
 Y,  , Y,  ,2,580,MD ,Laughing Gull                           ,                                        , Dh,21,-3.604,-7.143,-0.173,810.626
  ,  ,  ,  ,2,580,NC ,Laughing Gull                           ,                                        , Dh,17,-2.437,-4.981,-0.051,243.218
 R,  , R,  ,1,580,NJ ,Laughing Gull                           ,                                        , Dh,17,5.672,0.829,11.051,557.505
 R, R, R,  ,  ,580,SC ,Laughing Gull                           ,                                        , Dh,4,-4.891,-23.703,5.312,2.405
  ,  ,  ,  ,  ,580,TEX,Laughing Gull                           ,                                        , Dh,21,-0.387,-3.262,2.524,2874.993
 R, Y, R,  ,  ,580,VA ,Laughing Gull                           ,                                        , Dh,6,0.273,-6.284,8.598,355.461
  ,  ,  ,  ,  ,580,US ,Laughing Gull                           ,                                        , Dh,167,-0.728,-2.938,1.565,650.298
  ,  ,  ,  ,  ,580,SUR,Laughing Gull                           ,                                        , Dh,167,-0.728,-2.938,1.565,650.298
  ,  ,  ,  ,  ,580,US1,Laughing Gull                           ,                                        , Dh,167,-0.728,-2.938,1.565,650.298
  ,  ,  ,  ,  ,580,SU1,Laughing Gull                           ,                                        , Dh,167,-0.728,-2.938,1.565,650.298
 R,  , R,  ,  ,590,S06,Franklin's Gull                         ,                                        , Dh,73,3.859,-3.353,14.908,804.263
 R,  , R,  ,  ,590,S09,Franklin's Gull                         ,                                        , Dh,29,-0.534,-6.415,7.235,88.289
 R, Y, R,  ,  ,590,S10,Franklin's Gull                         ,                                        , Dh,10,-8.557,-18.72,1.015,14.458
 Y,  , Y,  ,1,590,S11,Franklin's Gull                         ,                                        , Dh,208,4.198,0.692,7.79,1568.389
 R, R, R,  ,  ,590,S12,Franklin's Gull                         ,                                        , Dh,3,-8.135,-19.906,2.91,14.927
 R, Y, R,  ,  ,590,S17,Franklin's Gull                         ,                                        , Dh,10,-3.668,-13.961,6.015,2.249
 R, Y, R,  ,  ,590,S19,Franklin's Gull                         ,                                        , Dh,6,-1.455,-13.183,12.86,3.194
 R, R, R,  ,  ,590,S23,Franklin's Gull                         ,                                        , Dh,3,-8.05,-24.568,6.212,1.129
 Y,  , Y,  ,  ,590,ALB,Franklin's Gull                         ,                                        , Dh,119,1.3,-3.413,5.86,1295.939
 R, R, R,  ,  ,590,CAL,Franklin's Gull                         ,                                        , Dh,3,3.316,-8.719,15.882,4.038
 R, Y, R,  ,  ,590,IDA,Franklin's Gull                         ,                                        , Dh,11,-3.352,-10.255,3.52,194.212
 R, R, R,  ,  ,590,KAN,Franklin's Gull                         ,                                        , Dh,3,-0.145,-14.689,16.897,4.145
 R,  , R,  ,  ,590,MAN,Franklin's Gull                         ,                                        , Dh,48,1.881,-3.072,7.369,3350.787
 R,  , R,  ,  ,590,MIN,Franklin's Gull                         ,                                        , Dh,16,-7.822,-15.671,0.198,35.613
 R,  , R,  ,  ,590,MON,Franklin's Gull                         ,                                        , Dh,23,1.19,-5.747,8.794,47.035
